#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508092243   277   22.1   96.0   21.4   21.8   23.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.7 1003.4
202508092243   278   22.6   99.7   22.6   22.4   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.6 1002.9
202508092243   279   22.8   93.2   21.6   22.7   24.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.2 1002.8
202508092243   281   21.9   99.3   21.8   21.5   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.3 1004.3
202508092243   283   22.3   93.2   21.1   22.1   23.9   27.0   27.4   27.7   28.4  -99.7  -99.7  -99.7  -99.7  -99.7 1000.0 1004.6
202508092243   284   22.3   91.1   20.8   22.1   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  977.3 1003.2
202508092243   285   22.6   99.1   22.5   23.1   24.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.8 1003.9
202508092243   288   23.0   90.9   21.4   24.3   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.0 1003.0
202508092243   289   21.7   99.5   21.6   21.5   23.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  988.9 1004.7
202508092243   294   22.0   96.0   21.3   22.5   23.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.1 1004.2
202508092243   295   22.6   96.2   22.0   22.9   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.4 1003.6
202508092243   296   23.0   91.9   21.6   22.7   24.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1003.1 1003.4
202508092243   300   24.2   87.1   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.7 1001.7
202508092243   301   23.3   97.1   22.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.7 1000.7
202508092243   302   24.4   97.2   23.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.9 1001.6
202508092243   303   27.4   96.5   26.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  989.3 1001.1
202508092243   304   23.3   96.6   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.6 1003.5
202508092243   305   24.7   97.0   24.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.8 1003.8
202508092243   306   22.8   91.6   21.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.3 1002.6
202508092243   308   24.1   99.2   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.2 1000.1
202508092243   309   19.9   96.8   19.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.7 1004.6
202508092243   310   20.5   78.2   16.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.7 1002.3
202508092243   311   19.4   99.3   19.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  937.6 1005.3
202508092243   312   20.6   94.5   19.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.4 1004.2
202508092243   313   22.4   96.6   21.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  995.4 1003.4
202508092243   314   15.2   98.5   15.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  842.1 1003.9
202508092243   315   17.8   99.3   17.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  885.5 1003.9
202508092243   316   21.4   99.2   21.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  903.3 1002.2
202508092243   317   22.1   94.6   21.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  990.4 1002.5
202508092243   318   15.8   90.5   14.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  910.5 1005.5
202508092243   319   23.0   86.1   20.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.4 1004.0
202508092243   320   15.1   88.9   13.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  867.7 1005.2
202508092243   321   20.1   95.8   19.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  975.6 1004.6
202508092243   322   17.4   98.4   17.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  956.1 1005.9
202508092243   323   18.8   96.7   18.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.1 1005.8
202508092243   324   20.0   90.0   18.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.0 1003.9
202508092243   325   17.7   98.0   17.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  978.6 1005.3
202508092243   326   19.1   99.0   18.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.2 1004.2
202508092243   327   22.7   85.5   20.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.2 1003.3
202508092243   328   28.0   86.2   25.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.6 1003.4
202508092243   329   25.2   91.3   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  961.2 1003.0
202508092243   330   26.4   97.9   26.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  986.9 1003.1
