lon,lat,wl,attwl,obsnm,rf,kind,dataType,ymdhm,obscd,fbscd,wrnwl,almwl,srswl,fcodvcd,sttnm,sumrf24,wl10,cnfno,sfw,cnfdt,appsdt,cnfotf,cmt,cnfseq,fvanm,addr,seq,media_nm,hls_url,rsobscd,observationCount,totalcnt,fldcnt0,fldcnt1,fldcnt2,fldcnt3,fldcnt4,fldcnt5,cnt,itm,itmid,ansid,rsrt,crwl,crewl,dwl,msg,act,fvacnt,fvacd,ospilwl,rwl,iqty,tdqty,spnds,anctm,spnefttm,spnttl,spnzn,pspeftds,cctvurl,cctvhurl,cctvtype,media_id,media_type,proto_type,media_status,hls_status,fw,floodCode,floodName,floodSubName,ldUrl,hdUrl,addtcd,data,note
128.40611111111113,37.367777777777775,0.40,,평창군(평창교),,,flood,2025-09-07 14:30,1002650,,4.60,6.20,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.87,37.74305555555556,-0.33,,강릉시(회산교),,,flood,2025-09-07 14:30,1302648,,2.80,3.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.6211111111111,36.76305555555555,0.46,,영주시(월호교),,,flood,2025-09-07 14:30,2004635,,5.50,7.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.81472222222222,35.17166666666667,1.03,,광주광역시(풍영정천2교),,,flood,2025-09-07 14:30,5001655,,4.40,5.30,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.77,35.29083333333333,2.32,,장성군(제2황룡교),,,flood,2025-09-07 14:30,5002650,,3.50,4.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.77916666666667,35.494166666666665,0.20,,밀양시(용평동),,,flood,2025-09-07 14:30,2021675,,3.50,4.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.11222222222221,35.7925,2.08,,전주시(세내교),,,flood,2025-09-07 14:30,3301654,,4.00,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.15527777777778,35.878055555555555,2.94,,완주군(제2소양교),,,flood,2025-09-07 14:30,3301640,,4.00,4.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.00833333333334,36.797777777777775,1.43,,아산시(충무교),,,flood,2025-09-07 14:30,3101685,,4.00,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.99138888888889,37.520833333333336,2.54,,횡성군(오산교),,,flood,2025-09-07 14:30,1006630,,3.90,4.70,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.23833333333332,36.051944444444445,0.86,,경주시(달성교),,,flood,2025-09-07 14:30,2101668,,4.00,4.40,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.12694444444443,36.527499999999996,1.17,,공주시(오인교),,,flood,2025-09-07 14:30,3012625,,3.00,4.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.57333333333332,37.33388888888889,0.91,,여주시(율극교),,,flood,2025-09-07 14:30,1007640,,4.50,5.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.95555555555556,37.34777777777778,0.25,,원주시(원주교),,,flood,2025-09-07 14:30,1006665,,2.50,3.40,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.60444444444444,37.07083333333334,1.26,,음성군(총천교),,,flood,2025-09-07 14:30,1007610,,3.20,3.90,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.26361111111112,35.98111111111111,1.60,,경주시(강동대교),,,flood,2025-09-07 14:30,2101675,,6.50,7.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.58,34.967777777777776,0.80,,광양시(서산교),,,flood,2025-09-07 14:30,4105630,,2.80,3.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.51444444444445,35.49777777777778,2.03,,남원시(월석교),,,flood,2025-09-07 14:30,4005645,,4.00,5.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.07055555555556,37.5925,0.77,,서울시(중랑교),,,flood,2025-09-07 14:30,1018675,,5.00,6.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.29916666666666,36.49916666666667,1.28,,세종시(햇무리교),,,flood,2025-09-07 14:30,3012602,,8.50,11.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.23861111111111,38.00222222222222,0.93,,포천시(은현교),,,flood,2025-09-07 14:30,1022648,,4.50,5.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.81333333333333,35.62916666666667,0.94,,함양군(안의교),,,flood,2025-09-07 14:30,2018609,,2.40,3.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.87416666666665,37.50833333333333,0.76,,서울시(오금교),,,flood,2025-09-07 14:30,1018697,,7.00,9.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.81027777777777,37.305,1.22,,원주시(문막교),,,flood,2025-09-07 14:30,1006690,,4.60,5.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.88916666666667,35.676944444444445,4.53,,정읍시(정우교),,,flood,2025-09-07 14:30,3302630,,5.50,6.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.11416666666665,35.193888888888885,2.00,,부산시(원동교),,,flood,2025-09-07 14:30,2302650,,4.60,5.30,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.6738888888889,36.00888888888889,0.66,,무주군(취수장),,,flood,2025-09-07 14:30,3003680,,3.00,4.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.84555555555555,37.47888888888889,0.17,,서울시(너부대교),,,flood,2025-09-07 14:30,1018695,,3.00,4.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
